>125, dA[0.071,0.107] dB[0.137,0.143] g[6.844,8.917]
>126, dA[0.047,0.147] dB[0.061,0.092] g[4.003,5.061]
>127, dA[0.123,0.128] dB[0.174,0.161] g[7.529,9.548]
>128, dA[0.052,0.071] dB[0.107,0.242] g[5.596,7.259]
>129, dA[0.365,0.074] dB[0.175,0.140] g[5.623,7.262]
>130, dA[0.061,0.189] dB[0.128,0.104] g[6.385,7.776]
>131, dA[0.111,0.058] dB[0.173,0.173] g[7.117,8.745]
>132, dA[0.196,0.245] dB[0.115,0.137] g[4.231,5.675]
>133, dA[0.121,0.151] dB[0.215,0.079] g[4.568,4.476]
>134, dA[0.135,0.120] dB[0.036,0.185] g[3.236,4.138]
>135, dA[0.095,0.050] dB[0.211,0.149] g[5.658,7.265]
>136, dA[0.047,0.077] dB[0.228,0.127] g[5.649,6.832]
>137, dA[0.102,0.180] dB[0.224,0.307] g[5.321,6.402]
>138, dA[0.063,0.028] dB[0.246,0.127] g[6.111,6.923]
>139, dA[0.040,0.039] dB[0.205,0.170] g[4.672,5.023]
>140, dA[0.081,0.080] dB[0.151,0.069] g[6.101,7.678]
>141, dA[0.053,0.136] dB[0.069,0.372] g[6.021,8.670]
>142, dA[0.116,0.107] dB[0.190,0.043] g[4.403,5.225]
>143, dA[0.125,0.138] dB[0.276,0.141] g[3.368,3.896]
>144, dA[0.072,0.049] dB[0.022,0.363] g[5.536,7.955]
>145, dA[0.055,0.021] dB[0.237,0.103] g[6.382,7.827]
>146, dA[0.047,0.045] dB[0.177,0.089] g[5.568,6.648]
>147, dA[0.048,0.215] dB[0.136,0.111] g[5.071,6.604]
>148, dA[0.170,0.314] dB[0.113,0.188] g[4.234,4.979]
>149, dA[0.125,0.092] dB[0.066,0.273] g[4.214,4.772]
>150, dA[0.048,0.092] dB[0.157,0.107] g[4.749,5.523]
>151, dA[0.086,0.065] dB[0.173,0.090] g[6.471,8.266]
>152, dA[0.097,0.062] dB[0.133,0.175] g[5.884,6.893]
>153, dA[0.054,0.040] dB[0.306,0.175] g[5.931,7.118]
>154, dA[0.025,0.065] dB[0.138,0.184] g[6.404,8.013]
>155, dA[0.239,0.087] dB[0.116,0.193] g[4.530,5.466]
>156, dA[0.062,0.146] dB[0.138,0.105] g[6.295,7.880]
>157, dA[0.062,0.261] dB[0.187,0.068] g[6.901,8.819]
>158, dA[0.046,0.020] dB[0.153,0.192] g[4.560,6.445]
>159, dA[0.086,0.029] dB[0.077,0.147] g[6.968,8.137]
>160, dA[0.047,0.073] dB[0.167,0.060] g[4.510,5.025]
>161, dA[0.046,0.097] dB[0.077,0.170] g[5.681,6.791]
>162, dA[0.049,0.038] dB[0.054,0.113] g[4.500,5.729]
>163, dA[0.034,0.077] dB[0.078,0.076] g[4.994,5.949]
>164, dA[0.045,0.187] dB[0.086,0.214] g[7.404,7.325]
>165, dA[0.229,0.111] dB[0.090,0.041] g[3.866,5.311]
>166, dA[0.263,0.193] dB[0.139,0.073] g[4.521,6.093]
>167, dA[0.071,0.074] dB[0.243,0.356] g[4.272,4.338]
>168, dA[0.083,0.131] dB[0.051,0.166] g[5.498,7.497]
>169, dA[0.035,0.063] dB[0.258,0.130] g[3.967,4.064]
>170, dA[0.070,0.052] dB[0.138,0.054] g[4.474,5.090]
>171, dA[0.115,0.051] dB[0.043,0.255] g[6.711,9.278]
>172, dA[0.035,0.112] dB[0.093,0.040] g[4.997,5.414]
>173, dA[0.035,0.066] dB[0.197,0.063] g[7.061,8.943]
>174, dA[0.134,0.152] dB[0.057,0.176] g[5.418,7.601]
>175, dA[0.048,0.121] dB[0.093,0.079] g[3.677,4.488]
>176, dA[0.132,0.080] dB[0.077,0.261] g[4.222,4.699]
>177, dA[0.048,0.081] dB[0.164,0.042] g[7.101,9.277]
>178, dA[0.062,0.034] dB[0.411,0.127] g[9.155,8.232]
>179, dA[0.168,0.225] dB[0.059,0.129] g[4.673,6.413]
>180, dA[0.039,0.040] dB[0.060,0.240] g[5.526,7.645]
>181, dA[0.233,0.020] dB[0.097,0.153] g[4.784,7.238]
>182, dA[0.273,0.235] dB[0.196,0.044] g[3.998,5.442]
>183, dA[0.075,0.135] dB[0.075,0.108] g[5.145,5.954]
>184, dA[0.173,0.215] dB[0.082,0.179] g[3.679,5.077]
>185, dA[0.039,0.037] dB[0.099,0.090] g[7.024,8.879]
>186, dA[0.079,0.016] dB[0.090,0.076] g[6.632,9.590]
>187, dA[0.131,0.070] dB[0.352,0.198] g[7.624,9.233]
>188, dA[0.031,0.056] dB[0.046,0.115] g[4.687,5.651]
>189, dA[0.166,0.078] dB[0.023,0.328] g[4.452,6.577]
>190, dA[0.024,0.089] dB[0.151,0.063] g[3.149,3.425]
>191, dA[0.090,0.022] dB[0.335,0.314] g[4.881,6.382]
>192, dA[0.170,0.193] dB[0.116,0.180] g[2.824,3.573]
>193, dA[0.034,0.032] dB[0.443,0.124] g[8.077,9.115]
>194, dA[0.089,0.194] dB[0.142,0.285] g[5.423,6.452]
>195, dA[0.085,0.047] dB[0.232,0.087] g[4.284,4.804]
>196, dA[0.132,0.093] dB[0.064,0.069] g[3.891,5.105]
>197, dA[0.042,0.088] dB[0.141,0.217] g[5.397,7.093]
